ID,name,composer,milliseconds,bytes,unitPrice,album_ID,mediaType_ID,genre_ID
37,Livin' On The Edge,"Steven Tyler, Joe Perry, Mark Hudson",381231,12374569,0.99,5,1,1
38,All I Really Want,Alanis Morissette & Glenn Ballard,284891,9375567,0.99,6,1,1
39,You Oughta Know,Alanis Morissette & Glenn Ballard,249234,8196916,0.99,6,1,1
40,Perfect,Alanis Morissette & Glenn Ballard,188133,6145404,0.99,6,1,1
41,Hand In My Pocket,Alanis Morissette & Glenn Ballard,221570,7224246,0.99,6,1,1
42,Right Through You,Alanis Morissette & Glenn Ballard,176117,5793082,0.99,6,1,1
43,Forgiven,Alanis Morissette & Glenn Ballard,300355,9753256,0.99,6,1,1
44,You Learn,Alanis Morissette & Glenn Ballard,239699,7824837,0.99,6,1,1
45,Head Over Feet,Alanis Morissette & Glenn Ballard,267493,8758008,0.99,6,1,1
46,Mary Jane,Alanis Morissette & Glenn Ballard,280607,9163588,0.99,6,1,1
47,Ironic,Alanis Morissette & Glenn Ballard,229825,7598866,0.99,6,1,1
48,Not The Doctor,Alanis Morissette & Glenn Ballard,227631,7604601,0.99,6,1,1
49,Wake Up,Alanis Morissette & Glenn Ballard,293485,9703359,0.99,6,1,1
50,You Oughta Know (Alternate),Alanis Morissette & Glenn Ballard,491885,16008629,0.99,6,1,1
51,We Die Young,Jerry Cantrell,152084,4925362,0.99,7,1,1
52,Man In The Box,"Jerry Cantrell, Layne Staley",286641,9310272,0.99,7,1,1
53,Sea Of Sorrow,Jerry Cantrell,349831,11316328,0.99,7,1,1
54,Bleed The Freak,Jerry Cantrell,241946,7847716,0.99,7,1,1
55,I Can't Remember,"Jerry Cantrell, Layne Staley",222955,7302550,0.99,7,1,1
56,"Love, Hate, Love","Jerry Cantrell, Layne Staley",387134,12575396,0.99,7,1,1
57,It Ain't Like That,"Jerry Cantrell, Michael Starr, Sean Kinney",277577,8993793,0.99,7,1,1
58,Sunshine,Jerry Cantrell,284969,9216057,0.99,7,1,1
59,Put You Down,Jerry Cantrell,196231,6420530,0.99,7,1,1
60,Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,0.99,7,1,1
61,I Know Somethin (Bout You),Jerry Cantrell,261955,8497788,0.99,7,1,1
62,Real Thing,"Jerry Cantrell, Layne Staley",243879,7937731,0.99,7,1,1
63,Desafinado,,185338,5990473,0.99,8,1,2
64,Garota De Ipanema,,285048,9348428,0.99,8,1,2
65,Samba De Uma Nota Só (One Note Samba),,137273,4535401,0.99,8,1,2
66,Por Causa De Você,,169900,5536496,0.99,8,1,2
67,Ligia,,251977,8226934,0.99,8,1,2
68,Fotografia,,129227,4198774,0.99,8,1,2
69,Dindi (Dindi),,253178,8149148,0.99,8,1,2
70,Se Todos Fossem Iguais A Você (Instrumental),,134948,4393377,0.99,8,1,2
71,Falando De Amor,,219663,7121735,0.99,8,1,2
72,Angela,,169508,5574957,0.99,8,1,2
73,Corcovado (Quiet Nights Of Quiet Stars),,205662,6687994,0.99,8,1,2
74,Outra Vez,,126511,4110053,0.99,8,1,2
75,O Boto (Bôto),,366837,12089673,0.99,8,1,2
76,"Canta, Canta Mais",,271856,8719426,0.99,8,1,2
77,Enter Sandman,Apocalyptica,221701,7286305,0.99,9,1,3
78,Master Of Puppets,Apocalyptica,436453,14375310,0.99,9,1,3
79,Harvester Of Sorrow,Apocalyptica,374543,12372536,0.99,9,1,3
80,The Unforgiven,Apocalyptica,322925,10422447,0.99,9,1,3
81,Sad But True,Apocalyptica,288208,9405526,0.99,9,1,3
82,Creeping Death,Apocalyptica,308035,10110980,0.99,9,1,3
83,Wherever I May Roam,Apocalyptica,369345,12033110,0.99,9,1,3
84,Welcome Home (Sanitarium),Apocalyptica,350197,11406431,0.99,9,1,3
85,Cochise,Audioslave/Chris Cornell,222380,5339931,0.99,10,1,1
86,Show Me How to Live,Audioslave/Chris Cornell,277890,6672176,0.99,10,1,1
87,Gasoline,Audioslave/Chris Cornell,279457,6709793,0.99,10,1,1
88,What You Are,Audioslave/Chris Cornell,249391,5988186,0.99,10,1,1
89,Like a Stone,Audioslave/Chris Cornell,294034,7059624,0.99,10,1,1
90,Set It Off,Audioslave/Chris Cornell,263262,6321091,0.99,10,1,1
91,Shadow on the Sun,Audioslave/Chris Cornell,343457,8245793,0.99,10,1,1
92,I am the Highway,Audioslave/Chris Cornell,334942,8041411,0.99,10,1,1
93,Exploder,Audioslave/Chris Cornell,206053,4948095,0.99,10,1,1
94,Hypnotize,Audioslave/Chris Cornell,206628,4961887,0.99,10,1,1
95,Bring'em Back Alive,Audioslave/Chris Cornell,329534,7911634,0.99,10,1,1
96,Light My Way,Audioslave/Chris Cornell,303595,7289084,0.99,10,1,1
97,Getaway Car,Audioslave/Chris Cornell,299598,7193162,0.99,10,1,1
98,The Last Remaining Light,Audioslave/Chris Cornell,317492,7622615,0.99,10,1,1
99,Your Time Has Come,"Cornell, Commerford, Morello, Wilk",255529,8273592,0.99,11,1,4
100,Out Of Exile,"Cornell, Commerford, Morello, Wilk",291291,9506571,0.99,11,1,4
101,Be Yourself,"Cornell, Commerford, Morello, Wilk",279484,9106160,0.99,11,1,4
102,Doesn't Remind Me,"Cornell, Commerford, Morello, Wilk",255869,8357387,0.99,11,1,4
103,Drown Me Slowly,"Cornell, Commerford, Morello, Wilk",233691,7609178,0.99,11,1,4
104,Heaven's Dead,"Cornell, Commerford, Morello, Wilk",276688,9006158,0.99,11,1,4
105,The Worm,"Cornell, Commerford, Morello, Wilk",237714,7710800,0.99,11,1,4
106,Man Or Animal,"Cornell, Commerford, Morello, Wilk",233195,7542942,0.99,11,1,4
107,Yesterday To Tomorrow,"Cornell, Commerford, Morello, Wilk",273763,8944205,0.99,11,1,4
108,Dandelion,"Cornell, Commerford, Morello, Wilk",278125,9003592,0.99,11,1,4
109,#1 Zero,"Cornell, Commerford, Morello, Wilk",299102,9731988,0.99,11,1,4
110,The Curse,"Cornell, Commerford, Morello, Wilk",309786,10029406,0.99,11,1,4
111,Money,"Berry Gordy, Jr./Janie Bradford",147591,2365897,0.99,12,1,5
112,Long Tall Sally,"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell",106396,1707084,0.99,12,1,5
113,Bad Boy,Larry Williams,116088,1862126,0.99,12,1,5
114,Twist And Shout,Bert Russell/Phil Medley,161123,2582553,0.99,12,1,5
115,Please Mr. Postman,Brian Holland/Freddie Gorman/Georgia Dobbins/Robert Bateman/William Garrett,137639,2206986,0.99,12,1,5
116,C'Mon Everybody,Eddie Cochran/Jerry Capehart,140199,2247846,0.99,12,1,5
117,Rock 'N' Roll Music,Chuck Berry,141923,2276788,0.99,12,1,5
118,Slow Down,Larry Williams,163265,2616981,0.99,12,1,5
119,Roadrunner,Bo Diddley,143595,2301989,0.99,12,1,5
120,Carol,Chuck Berry,143830,2306019,0.99,12,1,5
121,Good Golly Miss Molly,Little Richard,106266,1704918,0.99,12,1,5
122,20 Flight Rock,Ned Fairchild,107807,1299960,0.99,12,1,5
123,Quadrant,Billy Cobham,261851,8538199,0.99,13,1,2
124,Snoopy's search-Red baron,Billy Cobham,456071,15075616,0.99,13,1,2
125,"Spanish moss-""A sound portrait""-Spanish moss",Billy Cobham,248084,8217867,0.99,13,1,2
126,Moon germs,Billy Cobham,294060,9714812,0.99,13,1,2
127,Stratus,Billy Cobham,582086,19115680,0.99,13,1,2
128,The pleasant pheasant,Billy Cobham,318066,10630578,0.99,13,1,2
129,Solo-Panhandler,Billy Cobham,246151,8230661,0.99,13,1,2
130,Do what cha wanna,George Duke,274155,9018565,0.99,13,1,2
131,Intro/ Low Down,,323683,10642901,0.99,14,1,3
132,13 Years Of Grief,,246987,8137421,0.99,14,1,3
133,Stronger Than Death,,300747,9869647,0.99,14,1,3
134,All For You,,235833,7726948,0.99,14,1,3
135,Super Terrorizer,,319373,10513905,0.99,14,1,3
136,Phoney Smile Fake Hellos,,273606,9011701,0.99,14,1,3
137,Lost My Better Half,,284081,9355309,0.99,14,1,3
138,Bored To Tears,,247327,8130090,0.99,14,1,3
139,A.N.D.R.O.T.A.Z.,,266266,8574746,0.99,14,1,3
140,Born To Booze,,282122,9257358,0.99,14,1,3
141,World Of Trouble,,359157,11820932,0.99,14,1,3
142,No More Tears,,555075,18041629,0.99,14,1,3
143,The Begining... At Last,,365662,11965109,0.99,14,1,3
144,Heart Of Gold,,194873,6417460,0.99,15,1,3
145,Snowblind,,420022,13842549,0.99,15,1,3
146,Like A Bird,,276532,9115657,0.99,15,1,3
147,Blood In The Wall,,284368,9359475,0.99,15,1,3
148,The Beginning...At Last,,271960,8975814,0.99,15,1,3
149,Black Sabbath,,382066,12440200,0.99,16,1,3
150,The Wizard,,264829,8646737,0.99,16,1,3
151,Behind The Wall Of Sleep,,217573,7169049,0.99,16,1,3
152,N.I.B.,,368770,12029390,0.99,16,1,3
153,Evil Woman,,204930,6655170,0.99,16,1,3
154,Sleeping Village,,644571,21128525,0.99,16,1,3
155,Warning,,212062,6893363,0.99,16,1,3
156,Wheels Of Confusion / The Straightener,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",494524,16065830,0.99,17,1,3
157,Tomorrow's Dream,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",192496,6252071,0.99,17,1,3
158,Changes,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",286275,9175517,0.99,17,1,3
159,FX,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",103157,3331776,0.99,17,1,3
160,Supernaut,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",285779,9245971,0.99,17,1,3
161,Snowblind,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",331676,10813386,0.99,17,1,3
162,Cornucopia,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",234814,7653880,0.99,17,1,3
163,Laguna Sunrise,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",173087,5671374,0.99,17,1,3
164,St. Vitus Dance,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",149655,4884969,0.99,17,1,3
165,Under The Sun/Every Day Comes and Goes,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",350458,11360486,0.99,17,1,3
166,Smoked Pork,,47333,1549074,0.99,18,1,4
167,Body Count's In The House,,204251,6715413,0.99,18,1,4
168,Now Sports,,4884,161266,0.99,18,1,4
169,Body Count,,317936,10489139,0.99,18,1,4
170,A Statistic,,6373,211997,0.99,18,1,4
171,Bowels Of The Devil,,223216,7324125,0.99,18,1,4
172,The Real Problem,,11650,387360,0.99,18,1,4
173,KKK Bitch,,173008,5709631,0.99,18,1,4
174,D Note,,95738,3067064,0.99,18,1,4
175,Voodoo,,300721,9875962,0.99,18,1,4
176,The Winner Loses,,392254,12843821,0.99,18,1,4
177,There Goes The Neighborhood,,350171,11443471,0.99,18,1,4
178,Oprah,,6635,224313,0.99,18,1,4
179,Evil Dick,,239020,7828873,0.99,18,1,4
180,Body Count Anthem,,166426,5463690,0.99,18,1,4
181,Momma's Gotta Die Tonight,,371539,12122946,0.99,18,1,4
182,Freedom Of Speech,,281234,9337917,0.99,18,1,4
183,King In Crimson,Roy Z,283167,9218499,0.99,19,1,3
184,Chemical Wedding,Roy Z,246177,8022764,0.99,19,1,3
185,The Tower,Roy Z,285257,9435693,0.99,19,1,3
186,Killing Floor,Adrian Smith,269557,8854240,0.99,19,1,3
187,Book Of Thel,Eddie Casillas/Roy Z,494393,16034404,0.99,19,1,3
188,Gates Of Urizen,Roy Z,265351,8627004,0.99,19,1,3
189,Jerusalem,Roy Z,402390,13194463,0.99,19,1,3
190,Trupets Of Jericho,Roy Z,359131,11820908,0.99,19,1,3
191,Machine Men,Adrian Smith,341655,11138147,0.99,19,1,3
192,The Alchemist,Roy Z,509413,16545657,0.99,19,1,3
193,Realword,Roy Z,237531,7802095,0.99,19,1,3
194,First Time I Met The Blues,Eurreal Montgomery,140434,4604995,0.99,20,1,6
195,Let Me Love You Baby,Willie Dixon,175386,5716994,0.99,20,1,6
196,Stone Crazy,Buddy Guy,433397,14184984,0.99,20,1,6
197,Pretty Baby,Willie Dixon,237662,7848282,0.99,20,1,6
198,When My Left Eye Jumps,Al Perkins/Willie Dixon,235311,7685363,0.99,20,1,6
199,Leave My Girl Alone,Buddy Guy,204721,6859518,0.99,20,1,6
200,She Suits Me To A Tee,Buddy Guy,136803,4456321,0.99,20,1,6
201,Keep It To Myself (Aka Keep It To Yourself),Sonny Boy Williamson [I],166060,5487056,0.99,20,1,6
202,My Time After Awhile,Robert Geddins/Ron Badger/Sheldon Feinberg,182491,6022698,0.99,20,1,6
203,Too Many Ways (Alternate),Willie Dixon,135053,4459946,0.99,20,1,6
204,Talkin' 'Bout Women Obviously,Amos Blakemore/Buddy Guy,589531,19161377,0.99,20,1,6
205,Jorge Da Capadócia,Jorge Ben,177397,5842196,0.99,21,1,7
206,Prenda Minha,Tradicional,99369,3225364,0.99,21,1,7
207,Meditação,Tom Jobim - Newton Mendoça,148793,4865597,0.99,21,1,7
208,Terra,Caetano Veloso,482429,15889054,0.99,21,1,7
209,Eclipse Oculto,Caetano Veloso,221936,7382703,0.99,21,1,7
210,"Texto ""Verdade Tropical""",Caetano Veloso,84088,2752161,0.99,21,1,7
211,Bem Devagar,Gilberto Gil,133172,4333651,0.99,21,1,7
212,Drão,Gilberto Gil,156264,5065932,0.99,21,1,7
213,Saudosismo,Caetano Veloso,144326,4726981,0.99,21,1,7
214,Carolina,Chico Buarque,181812,5924159,0.99,21,1,7
215,Sozinho,Peninha,190589,6253200,0.99,21,1,7
216,Esse Cara,Caetano Veloso,223111,7217126,0.99,21,1,7
217,Mel,Caetano Veloso - Waly Salomão,294765,9854062,0.99,21,1,7
218,Linha Do Equador,Caetano Veloso - Djavan,299337,10003747,0.99,21,1,7
219,Odara,Caetano Veloso,141270,4704104,0.99,21,1,7
220,A Luz De Tieta,Caetano Veloso,251742,8507446,0.99,21,1,7
221,Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,David Corrêa - Paulinho Carvalho - Carlos Sena - Bira do Ponto,307252,10364247,0.99,21,1,7
222,Vida Boa,Fausto Nilo - Armandinho,281730,9411272,0.99,21,1,7
223,Sozinho (Hitmakers Classic Mix),,436636,14462072,0.99,22,1,7
224,Sozinho (Hitmakers Classic Radio Edit),,195004,6455134,0.99,22,1,7
225,Sozinho (Caêdrum 'n' Bass),,328071,10975007,0.99,22,1,7
226,Carolina,,163056,5375395,0.99,23,1,7
227,Essa Moça Ta Diferente,,167235,5568574,0.99,23,1,7
228,Vai Passar,,369763,12359161,0.99,23,1,7
229,Samba De Orly,,162429,5431854,0.99,23,1,7
230,"Bye, Bye Brasil",,283402,9499590,0.99,23,1,7
231,Atras Da Porta,,189675,6132843,0.99,23,1,7
232,Tatuagem,,172120,5645703,0.99,23,1,7
233,O Que Será (À Flor Da Terra),,167288,5574848,0.99,23,1,7
234,Morena De Angola,,186801,6373932,0.99,23,1,7
235,Apesar De Você,,234501,7886937,0.99,23,1,7
236,A Banda,,132493,4349539,0.99,23,1,7
237,Minha Historia,,182256,6029673,0.99,23,1,7
238,Com Açúcar E Com Afeto,,175386,5846442,0.99,23,1,7
239,Brejo Da Cruz,,214099,7270749,0.99,23,1,7
240,Meu Caro Amigo,,260257,8778172,0.99,23,1,7
241,Geni E O Zepelim,,317570,10342226,0.99,23,1,7
242,Trocando Em Miúdos,,169717,5461468,0.99,23,1,7
243,Vai Trabalhar Vagabundo,,139154,4693941,0.99,23,1,7
244,Gota D'água,,153208,5074189,0.99,23,1,7
245,Construção / Deus Lhe Pague,,383059,12675305,0.99,23,1,7
246,Mateus Enter,Chico Science,33149,1103013,0.99,24,1,7
247,O Cidadão Do Mundo,Chico Science,200933,6724966,0.99,24,1,7
248,Etnia,Chico Science,152555,5061413,0.99,24,1,7
249,Quilombo Groove [Instrumental],Chico Science,151823,5042447,0.99,24,1,7
250,Macô,Chico Science,249600,8253934,0.99,24,1,7
251,Um Passeio No Mundo Livre,Chico Science,240091,7984291,0.99,24,1,7
252,Samba Do Lado,Chico Science,227317,7541688,0.99,24,1,7
253,Maracatu Atômico,Chico Science,284264,9670057,0.99,24,1,7
254,O Encontro De Isaac Asimov Com Santos Dumont No Céu,Chico Science,99108,3240816,0.99,24,1,7
255,Corpo De Lama,Chico Science,232672,7714954,0.99,24,1,7
256,Sobremesa,Chico Science,240091,7960868,0.99,24,1,7
257,Manguetown,Chico Science,194560,6475159,0.99,24,1,7
258,Um Satélite Na Cabeça,Chico Science,126615,4272821,0.99,24,1,7
259,Baião Ambiental [Instrumental],Chico Science,152659,5198539,0.99,24,1,7
260,Sangue De Bairro,Chico Science,132231,4415557,0.99,24,1,7
261,Enquanto O Mundo Explode,Chico Science,88764,2968650,0.99,24,1,7
262,Interlude Zumbi,Chico Science,71627,2408550,0.99,24,1,7
263,Criança De Domingo,Chico Science,208222,6984813,0.99,24,1,7
264,Amor De Muito,Chico Science,175333,5881293,0.99,24,1,7
265,Samidarish [Instrumental],Chico Science,272431,8911641,0.99,24,1,7
266,Maracatu Atômico [Atomic Version],Chico Science,273084,9019677,0.99,24,1,7
267,Maracatu Atômico [Ragga Mix],Chico Science,210155,6986421,0.99,24,1,7
268,Maracatu Atômico [Trip Hop],Chico Science,221492,7380787,0.99,24,1,7
269,Banditismo Por Uma Questa,,307095,10251097,0.99,25,1,7
270,Banditismo Por Uma Questa,,243644,8147224,0.99,25,1,7
271,Rios Pontes & Overdrives,,286720,9659152,0.99,25,1,7
272,Cidade,,216346,7241817,0.99,25,1,7
273,Praiera,,183640,6172781,0.99,25,1,7
274,Samba Makossa,,271856,9095410,0.99,25,1,7
275,Da Lama Ao Caos,,251559,8378065,0.99,25,1,7
276,Maracatu De Tiro Certeiro,,88868,2901397,0.99,25,1,7
277,Salustiano Song,,215405,7183969,0.99,25,1,7
278,Antene Se,,248372,8253618,0.99,25,1,7
279,Risoflora,,105586,3536938,0.99,25,1,7
280,Lixo Do Mangue,,193253,6534200,0.99,25,1,7
281,Computadores Fazem Arte,,404323,13702771,0.99,25,1,7
282,Girassol,Bino Farias/Da Gama/Lazão/Pedro Luis/Toni Garrido,249808,8327676,0.99,26,1,8
283,A Sombra Da Maldade,Da Gama/Toni Garrido,230922,7697230,0.99,26,1,8
284,Johnny B. Goode,Chuck Berry,254615,8505985,0.99,26,1,8
285,Soldado Da Paz,Herbert Vianna,194220,6455080,0.99,26,1,8
286,Firmamento,Bino Farias/Da Gama/Henry Lawes/Lazão/Toni Garrido/Winston Foser-Vers,222145,7402658,0.99,26,1,8
287,Extra,Gilberto Gil,304352,10078050,0.99,26,1,8
288,O Erê,Bernardo Vilhena/Bino Farias/Da Gama/Lazão/Toni Garrido,236382,7866924,0.99,26,1,8
289,Podes Crer,Bino Farias/Da Gama/Lazão/Toni Garrido,232280,7747747,0.99,26,1,8
290,A Estrada,Bino Farias/Da Gama/Lazão/Toni Garrido,248842,8275673,0.99,26,1,8
291,Berlim,Da Gama/Toni Garrido,207542,6920424,0.99,26,1,8
292,Já Foi,Bino Farias/Da Gama/Lazão/Toni Garrido,221544,7388466,0.99,26,1,8
293,Onde Você Mora?,Marisa Monte/Nando Reis,256026,8502588,0.99,26,1,8
294,Pensamento,Bino Farias/Da Gamma/Lazão/Rás Bernard,173008,5748424,0.99,26,1,8
295,Conciliação,Da Gama/Lazão/Rás Bernardo,257619,8552474,0.99,26,1,8
296,Realidade Virtual,Bino Farias/Da Gama/Lazão/Toni Garrido,195239,6503533,0.99,26,1,8
297,Mensagem,Bino Farias/Da Gama/Lazão/Rás Bernardo,225332,7488852,0.99,26,1,8
298,A Cor Do Sol,Bernardo Vilhena/Da Gama/Lazão,231392,7663348,0.99,26,1,8
299,Onde Você Mora?,Marisa Monte/Nando Reis,298396,10056970,0.99,27,1,8
300,O Erê,Bernardo Vilhena/Bino/Da Gama/Lazao/Toni Garrido,206942,6950332,0.99,27,1,8
301,A Sombra Da Maldade,Da Gama/Toni Garrido,285231,9544383,0.99,27,1,8
302,A Estrada,Da Gama/Lazao/Toni Garrido,282174,9344477,0.99,27,1,8
303,Falar A Verdade,Bino/Da Gama/Ras Bernardo,244950,8189093,0.99,27,1,8
304,Firmamento,Harry Lawes/Winston Foster-Vers,225488,7507866,0.99,27,1,8
305,Pensamento,Bino/Da Gama/Ras Bernardo,192391,6399761,0.99,27,1,8
306,Realidade Virtual,Bino/Da Gamma/Lazao/Toni Garrido,240300,8069934,0.99,27,1,8
307,Doutor,Bino/Da Gama/Toni Garrido,178155,5950952,0.99,27,1,8
308,Na Frente Da TV,Bino/Da Gama/Lazao/Ras Bernardo,289750,9633659,0.99,27,1,8
309,Downtown,Cidade Negra,239725,8024386,0.99,27,1,8
310,Sábado A Noite,Lulu Santos,267363,8895073,0.99,27,1,8
311,A Cor Do Sol,Bernardo Vilhena/Da Gama/Lazao,273031,9142937,0.99,27,1,8
312,Eu Também Quero Beijar,Fausto Nilo/Moraes Moreira/Pepeu Gomes,211147,7029400,0.99,27,1,8
313,Noite Do Prazer,,311353,10309980,0.99,28,1,7
314,À Francesa,,244532,8150846,0.99,28,1,7
315,Cada Um Cada Um (A Namoradeira),,253492,8441034,0.99,28,1,7
316,Linha Do Equador,,244715,8123466,0.99,28,1,7
317,Amor Demais,,254040,8420093,0.99,28,1,7
318,Férias,,264202,8731945,0.99,28,1,7
319,Gostava Tanto De Você,,230452,7685326,0.99,28,1,7
320,Flor Do Futuro,,275748,9205941,0.99,28,1,7
321,Felicidade Urgente,,266605,8873358,0.99,28,1,7
322,Livre Pra Viver,,214595,7111596,0.99,28,1,7
323,"Dig-Dig, Lambe-Lambe (Ao Vivo)",Cassiano Costa/Cintia Maviane/J.F./Lucas Costa,205479,6892516,0.99,29,1,9
324,Pererê,Augusto Conceição/Chiclete Com Banana,198661,6643207,0.99,29,1,9
325,TriboTchan,Cal Adan/Paulo Levi,194194,6507950,0.99,29,1,9
326,"Tapa Aqui, Descobre Ali",Paulo Levi/W. Rangel,188630,6327391,0.99,29,1,9
327,Daniela,Jorge Cardoso/Pierre Onasis,230791,7748006,0.99,29,1,9
328,Bate Lata,Fábio Nolasco/Gal Sales/Ivan Brasil,206733,7034985,0.99,29,1,9
329,Garotas do Brasil,"Garay, Ricardo Engels/Luca Predabom/Ludwig, Carlos Henrique/Maurício Vieira",210155,6973625,0.99,29,1,9
330,Levada do Amor (Ailoviu),Luiz Wanderley/Paulo Levi,190093,6457752,0.99,29,1,9
331,Lavadeira,"Do Vale, Valverde/Gal Oliveira/Luciano Pinto",214256,7254147,0.99,29,1,9
332,Reboladeira,Cal Adan/Ferrugem/Julinho Carioca/Tríona Ní Dhomhnaill,210599,7027525,0.99,29,1,9
333,É que Nessa Encarnação Eu Nasci Manga,Lucina/Luli,196519,6568081,0.99,29,1,9
334,Reggae Tchan,"Cal Adan/Del Rey, Tension/Edu Casanova",206654,6931328,0.99,29,1,9
335,My Love,Jauperi/Zeu Góes,203493,6772813,0.99,29,1,9
336,Latinha de Cerveja,Adriano Bernandes/Edmar Neves,166687,5532564,0.99,29,1,9
337,You Shook Me,J B Lenoir/Willie Dixon,315951,10249958,0.99,30,1,1
338,I Can't Quit You Baby,Willie Dixon,263836,8581414,0.99,30,1,1
339,Communication Breakdown,Jimmy Page/John Bonham/John Paul Jones,192653,6287257,0.99,30,1,1
340,Dazed and Confused,Jimmy Page,401920,13035765,0.99,30,1,1
341,The Girl I Love She Got Long Black Wavy Hair,Jimmy Page/John Bonham/John Estes/John Paul Jones/Robert Plant,183327,5995686,0.99,30,1,1
342,What is and Should Never Be,Jimmy Page/Robert Plant,260675,8497116,0.99,30,1,1
343,Communication Breakdown(2),Jimmy Page/John Bonham/John Paul Jones,161149,5261022,0.99,30,1,1
344,Travelling Riverside Blues,Jimmy Page/Robert Johnson/Robert Plant,312032,10232581,0.99,30,1,1
345,Whole Lotta Love,Jimmy Page/John Bonham/John Paul Jones/Robert Plant/Willie Dixon,373394,12258175,0.99,30,1,1
346,Somethin' Else,Bob Cochran/Sharon Sheeley,127869,4165650,0.99,30,1,1
347,Communication Breakdown(3),Jimmy Page/John Bonham/John Paul Jones,185260,6041133,0.99,30,1,1
348,I Can't Quit You Baby(2),Willie Dixon,380551,12377615,0.99,30,1,1
